"S Köpenick (Berlin)","13.580115","52.458712","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Landsberger Allee (Berlin)","13.45511","52.52918","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Lankwitz (Berlin)","13.341641","52.438529","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"S Lichtenrade (Berlin)","13.396789","52.387152","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Lichterfelde Süd (Berlin)","13.308552","52.409986","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Lichterfelde West (Berlin)","13.293023","52.443099","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Mahlsdorf (Berlin)","13.610496","52.512017","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Marienfelde (Berlin)","13.375013","52.423806",,"Treppe",,"not-barrier-free",,,,,,,,
"S Marzahn (Berlin)","13.540844","52.54303","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Mehrower Allee (Berlin)","13.553515","52.557561","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"S Messe Nord/ICC (Berlin)","13.282988","52.506898","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Messe Süd (Berlin)","13.270343","52.498654","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Mexikoplatz (Berlin)","13.232967","52.43687","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Nikolassee (Berlin)","13.193237","52.432226",,"Treppe","Rampe nur zur S1","partially-barrier-free",,,,,,,,
"S Nöldnerplatz (Berlin)","13.485308","52.503816",,"Treppe",,"not-barrier-free",,,,,,,,
"S Nordbahnhof (Berlin)","13.388965","52.531743","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Oberspree (Berlin)","13.538534","52.452476","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"S Olympiastadion (Berlin)","13.241589","52.511069","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Oranienburger Str. (Berlin)","13.392572","52.524967","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Osdorfer Str. (Berlin)","13.314009","52.418572","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Ostbahnhof (Berlin)","13.435738","52.509992","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Ostkreuz (Berlin)","13.469303","52.503022",,"Treppe",,"not-barrier-free",,,,,,,,
"S Pankow-Heinersdorf (Berlin)","13.429727","52.578211","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Pichelsberg (Berlin)","13.226739","52.510547","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Plänterwald (Berlin)","13.473333","52.478472","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Poelchaustr. (Berlin)","13.535402","52.535609","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"S Prenzlauer Allee (Berlin)","13.426917","52.544493","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Priesterweg (Berlin)","13.356275","52.460295","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Rahnsdorf (Berlin)","13.689948","52.451633","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Raoul-Wallenberg-Str. (Berlin)","13.547562","52.550709","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"S Rummelsburg (Berlin)","13.478778","52.501187","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Savignyplatz (Berlin)","13.319003","52.505163","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
