lat	lon	title	description	icon	iconSize	iconOffset
40.7606465	-111.8731284	Trolley	wheelchair node	/images/barrier-free.png	28,34	-8,-8
40.7594564	-111.8521824	Stadium	wheelchair node	/images/barrier-free.png	28,34	-8,-8
40.7695456	-111.8388576	University Medical Center	wheelchair node	/images/barrier-free.png	28,34	-8,-8
40.7644400	-111.8366700	Fort Douglas	wheelchair node	/images/barrier-free.png	28,34	-8,-8
40.7604959	-111.8391749	University South Campus	wheelchair node	/images/barrier-free.png	28,34	-8,-8
40.5894744	-111.885699	Historic Sandy	wheelchair node	/images/barrier-free.png	28,34	-8,-8
40.5810503	-111.8863551	Sandy Expo	wheelchair node	/images/barrier-free.png	28,34	-8,-8
40.5707173	-111.8845870	Sandy Civic Center	wheelchair node	/images/barrier-free.png	28,34	-8,-8
36.6821832	-105.6837595	Chawalauna Overlook	wheelchair node	/images/barrier-free.png	28,34	-8,-8
36.6577214	-105.6857703	La Junta Point	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7492097	-79.4622078	Downsview	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6498939	-79.4840387	Jane	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6375627	-79.5354809	Kipling	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7820359	-79.4167361	Finch	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7822464	-79.4158183	Finch	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7800267	-79.4152621	Finch	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7709030	-79.3668070	Leslie	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7710175	-79.3667299	Leslie	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7706952	-79.3674251	Leslie	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7752520	-79.3462450	Don Mills	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7745371	-79.2573967	Scarborough Town Centre	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7687986	-79.4126794	North York Centre	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7688256	-79.4124008		wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7615102	-79.4108848	Sheppard-Yonge	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7667887	-79.3878415	Bayview	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7691855	-79.3766279	Bessarion	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7668255	-79.3862720	Bayview	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7690792	-79.3758966	Bessarion	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7445197	-79.4067456	York Mills	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7448118	-79.4063221	York Mills	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7059897	-79.3984898	Eglinton	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6994142	-79.4361171	Eglinton West	wheelchair node	/images/barrier-free.png	28,34	-8,-8
